,age_group
1775,Adult
1096,Senior
975,Adult
748,Adult
1679,Adult
906,Adult
1757,Senior
700,Adult
827,Adult
847,Adult
824,Adult
316,Adult
386,Adult
1746,Senior
36,Adult
1531,Adult
1873,Adult
1997,Senior
1523,Adult
2140,Adult
1212,Adult
1239,Adult
1973,Adult
1143,Adult
634,Senior
1644,Adult
512,Adult
613,Adult
994,Adult
369,Adult
1155,Adult
1453,Adult
2052,Adult
2027,Adult
1692,Adult
1884,Senior
807,Adult
1855,Senior
1767,Adult
1291,Senior
1003,Adult
463,Adult
2116,Adult
161,Adult
1750,Senior
1204,Senior
1471,Senior
275,Adult
791,Adult
753,Senior
379,Senior
2198,Adult
69,Senior
263,Adult
1804,Senior
332,Adult
1423,Adult
2072,Senior
1763,Adult
822,Adult
1193,Adult
150,Adult
1461,Adult
76,Adult
431,Adult
1293,Adult
1493,Senior
193,Adult
169,Adult
1711,Adult
2207,Adult
2025,Adult
185,Adult
651,Adult
65,Adult
1173,Adult
472,Adult
2066,Senior
85,Adult
1206,Senior
1500,Adult
875,Senior
473,Adult
166,Adult
795,Adult
1778,Adult
733,Senior
499,Senior
171,Adult
2055,Senior
48,Adult
1830,Adult
1800,Adult
97,Adult
423,Adult
187,Adult
2119,Senior
173,Adult
1041,Adult
283,Adult
1422,Adult
1131,Adult
1338,Adult
1162,Adult
334,Senior
2169,Adult
2092,Adult
1202,Adult
1466,Adult
1065,Senior
2074,Adult
1294,Senior
1216,Adult
657,Senior
1756,Adult
656,Senior
2001,Adult
1079,Adult
1928,Adult
517,Adult
1611,Adult
1023,Senior
1029,Adult
1529,Senior
1751,Senior
1562,Senior
653,Adult
934,Adult
1362,Adult
2078,Adult
1888,Senior
2118,Adult
990,Adult
127,Adult
917,Adult
457,Adult
1189,Adult
1108,Adult
1729,Adult
1609,Adult
996,Senior
725,Senior
501,Senior
1682,Adult
637,Senior
1874,Adult
650,Adult
172,Adult
1033,Adult
1717,Adult
1522,Adult
644,Senior
1469,Adult
1083,Senior
1954,Adult
1714,Adult
380,Adult
1468,Adult
1881,Adult
1535,Adult
909,Senior
1636,Senior
385,Adult
1496,Adult
116,Adult
1975,Adult
624,Senior
1641,Adult
967,Adult
208,Adult
1661,Adult
1098,Adult
2157,Adult
724,Adult
1076,Adult
1270,Senior
1616,Adult
684,Adult
1332,Senior
787,Adult
2179,Adult
971,Adult
1396,Senior
151,Adult
1426,Adult
1707,Adult
267,Adult
188,Adult
918,Adult
617,Adult
1753,Adult
282,Adult
474,Adult
1691,Adult
2045,Senior
1477,Adult
863,Senior
307,Adult
446,Adult
1164,Adult
1839,Adult
1671,Adult
84,Adult
348,Adult
2126,Senior
1205,Adult
1370,Adult
1676,Senior
1273,Adult
1414,Adult
141,Adult
408,Adult
511,Senior
853,Senior
246,Adult
654,Adult
1567,Adult
1499,Adult
2032,Adult
375,Adult
568,Adult
1633,Adult
1532,Adult
1696,Adult
2163,Adult
528,Adult
58,Adult
2181,Adult
586,Adult
346,Adult
728,Adult
1039,Senior
961,Adult
1940,Senior
2041,Senior
302,Adult
1119,Adult
1748,Adult
37,Adult
2167,Adult
1299,Adult
98,Senior
1320,Adult
1910,Adult
1926,Adult
910,Adult
598,Adult
1630,Adult
597,Adult
854,Senior
2215,Adult
868,Adult
666,Adult
459,Adult
250,Adult
1459,Adult
1853,Adult
2160,Adult
1536,Adult
162,Adult
1953,Adult
2009,Adult
1034,Senior
1135,Senior
286,Adult
68,Adult
1938,Adult
353,Adult
1648,Senior
1895,Adult
579,Adult
778,Adult
138,Adult
453,Adult
140,Adult
1472,Senior
674,Adult
542,Adult
258,Adult
1511,Adult
2034,Senior
152,Adult
587,Adult
1177,Senior
759,Senior
954,Adult
1278,Senior
521,Adult
985,Adult
1980,Adult
2082,Senior
163,Senior
392,Adult
2113,Adult
834,Adult
2175,Adult
1369,Senior
1979,Adult
2110,Adult
1400,Senior
2100,Senior
280,Adult
599,Adult
1267,Adult
1028,Adult
1951,Adult
95,Adult
1198,Adult
642,Adult
1253,Adult
223,Adult
78,Adult
1440,Adult
462,Adult
945,Adult
393,Adult
1754,Adult
1430,Adult
376,Senior
491,Adult
1195,Adult
2120,Adult
2121,Adult
1286,Adult
815,Senior
1952,Adult
1689,Adult
448,Adult
2158,Adult
1913,Adult
1126,Senior
19,Adult
584,Adult
676,Senior
696,Adult
2177,Adult
303,Adult
1788,Adult
1586,Adult
1004,Adult
721,Adult
1974,Senior
1347,Adult
980,Adult
2068,Adult
1309,Adult
503,Adult
608,Senior
145,Adult
2073,Adult
887,Adult
2039,Adult
2033,Adult
1091,Adult
1120,Adult
1402,Adult
244,Senior
1359,Adult
2020,Adult
840,Adult
578,Adult
240,Adult
758,Adult
1904,Senior
1380,Adult
274,Adult
344,Adult
55,Adult
205,Senior
907,Senior
1506,Adult
692,Adult
67,Adult
1181,Adult
2214,Adult
57,Adult
718,Adult
1021,Adult
1194,Adult
1631,Adult
1220,Adult
1289,Senior
741,Adult
177,Adult
603,Adult
580,Adult
962,Adult
305,Adult
1710,Adult
523,Adult
1850,Adult
1976,Senior
1233,Adult
1972,Senior
367,Adult
428,Adult
83,Adult
2028,Adult
1481,Adult
816,Adult
1667,Senior
2,Adult
933,Adult
1809,Adult
1082,Adult
1970,Adult
531,Adult
200,Adult
391,Adult
2203,Adult
572,Adult
1814,Adult
1541,Adult
124,Adult
1019,Adult
1961,Senior
40,Adult
1708,Adult
938,Adult
848,Adult
1724,Senior
2069,Senior
1114,Adult
1674,Adult
1350,Adult
317,Adult
414,Senior
1031,Adult
1706,Adult
1642,Adult
396,Adult
51,Adult
245,Adult
1501,Adult
694,Adult
1465,Adult
1188,Adult
201,Senior
1279,Adult
1645,Adult
1419,Adult
251,Adult
626,Adult
1787,Adult
456,Adult
102,Adult
160,Senior
1677,Senior
1449,Adult
1819,Adult
44,Adult
230,Adult
212,Adult
117,Adult
2038,Adult
128,Adult
1681,Senior
1820,Adult
401,Adult
1824,Adult
294,Adult
2018,Adult
884,Adult
1589,Adult
1259,Adult
299,Adult
313,Adult
783,Adult
1560,Adult
939,Adult
2165,Adult
2182,Adult
1334,Senior
1867,Adult
1353,Adult
1344,Senior
497,Adult
300,Adult
2189,Adult
1433,Adult
1272,Senior
484,Adult
1911,Adult
373,Adult
1831,Adult
1354,Adult
1395,Adult
1962,Adult
479,Adult
1861,Adult
176,Adult
2014,Adult
1986,Adult
1922,Adult
1993,Adult
1832,Senior
195,Adult
2128,Adult
362,Adult
418,Senior
109,Adult
399,Senior
1436,Adult
825,Adult
80,Adult
1854,Adult
9,Adult
1364,Senior
659,Adult
1549,Adult
1214,Adult
1264,Adult
534,Adult
1136,Adult
1786,Adult
643,Adult
806,Adult
1149,Adult
164,Senior
1946,Adult
510,Adult
507,Senior
876,Adult
754,Senior
743,Adult
932,Adult
1912,Adult
636,Adult
2002,Senior
1923,Senior
688,Senior
793,Senior
436,Adult
90,Adult
900,Adult
62,Adult
1081,Adult
1989,Senior
2139,Adult
387,Adult
1591,Adult
1045,Adult
1376,Adult
1561,Adult
1693,Adult
1798,Adult
705,Adult
1777,Senior
1232,Senior
930,Senior
1473,Adult
1138,Adult
122,Adult
1982,Adult
1716,Adult
1450,Adult
1885,Adult
52,Adult
661,Adult
1175,Adult
41,Adult
812,Adult
1632,Adult
1577,Adult
1801,Adult
773,Adult
2058,Adult
1841,Adult
681,Adult
1124,Adult
786,Adult
1862,Adult
219,Adult
2104,Adult
829,Senior
2155,Adult
1486,Adult
1625,Adult
1868,Adult
291,Adult
2213,Adult
1698,Senior
560,Adult
570,Adult
810,Adult
1744,Adult
2037,Adult
345,Senior
1374,Adult
1835,Adult
1713,Adult
1695,Adult
1322,Adult
4,Adult
987,Adult
23,Adult
2200,Senior
736,Adult
298,Adult
2130,Adult
49,Adult
946,Adult
1297,Adult
467,Adult
780,Adult
1914,Adult
620,Adult
839,Adult
27,Senior
2029,Adult
1241,Senior
1357,Adult
1311,Adult
175,Adult
1579,Adult
989,Adult
567,Adult
1817,Adult
802,Adult
1190,Senior
1255,Adult
1509,Adult
849,Adult
1658,Adult
285,Adult
1900,Adult
1078,Adult
1141,Adult
2059,Senior
123,Senior
1670,Adult
10,Adult
729,Adult
541,Adult
1263,Adult
548,Adult
1186,Adult
1745,Adult
782,Adult
2197,Senior
1906,Adult
1803,Adult
1615,Adult
2031,Adult
959,Adult
100,Adult
663,Adult
697,Adult
1697,Adult
974,Adult
723,Adult
1238,Adult
595,Senior
338,Adult
1393,Adult
1170,Adult
2076,Adult
426,Adult
144,Adult
1618,Adult
1726,Adult
760,Adult
1056,Adult
1219,Adult
79,Adult
469,Senior
490,Adult
331,Adult
1040,Adult
360,Adult
1417,Adult
1571,Adult
1818,Adult
2144,Adult
1115,Adult
170,Adult
272,Adult
858,Adult
1099,Adult
1876,Adult
324,Adult
1774,Adult
1163,Adult
56,Adult
1489,Adult
2146,Adult
107,Adult
536,Adult
236,Senior
1455,Senior
1444,Adult
2188,Adult
2166,Adult
269,Adult
984,Adult
461,Senior
74,Adult
59,Adult
404,Adult
1828,Adult
492,Adult
571,Adult
1192,Adult
1823,Adult
1431,Adult
739,Adult
1851,Adult
11,Adult
1462,Adult
227,Adult
2123,Adult
2008,Adult
26,Adult
159,Adult
527,Adult
1288,Adult
242,Adult
727,Adult
2151,Adult
1781,Adult
1025,Adult
1101,Adult
877,Adult
470,Adult
1403,Adult
1421,Adult
71,Adult
2095,Adult
1502,Adult
1485,Senior
505,Adult
211,Adult
1813,Adult
1071,Adult
1599,Senior
619,Senior
1950,Adult
1377,Adult
2093,Adult
1807,Adult
513,Adult
1871,Adult
354,Adult
1172,Adult
1916,Adult
487,Adult
2192,Adult
894,Senior
801,Adult
363,Adult
1125,Adult
1808,Adult
1743,Adult
1966,Adult
864,Adult
1883,Adult
1908,Adult
1261,Adult
1010,Adult
2206,Adult
1660,Adult
284,Senior
1685,Adult
365,Adult
1495,Adult
1652,Adult
969,Adult
496,Adult
2035,Adult
709,Adult
1797,Senior
1810,Adult
873,Adult
539,Senior
690,Adult
2149,Adult
335,Adult
432,Adult
202,Adult
789,Adult
1254,Adult
2023,Adult
957,Adult
1265,Adult
770,Adult
1690,Adult
232,Adult
662,Adult
1688,Adult
341,Senior
908,Adult
1156,Adult
1497,Adult
1367,Adult
1545,Adult
254,Adult
1070,Adult
1307,Adult
1837,Adult
82,Adult
1088,Adult
677,Adult
675,Senior
1572,Adult
631,Senior
1790,Senior
1117,Adult
1735,Adult
1157,Senior
664,Senior
2075,Adult
1715,Adult
1772,Adult
378,Adult
768,Adult
2000,Adult
121,Adult
1701,Senior
1062,Adult
1494,Adult
1796,Adult
465,Senior
1983,Adult
2191,Senior
1886,Adult
2190,Senior
1398,Adult
919,Adult
2170,Adult
1665,Adult
693,Adult
1475,Adult
1576,Adult
1379,Adult
921,Adult
1507,Adult
506,Adult
217,Adult
1223,Adult
389,Adult
425,Adult
762,Adult
1406,Senior
2129,Senior
329,Adult
349,Adult
2006,Adult
1277,Adult
22,Adult
34,Senior
1300,Adult
821,Adult
1866,Adult
370,Adult
1183,Adult
287,Adult
183,Adult
1872,Adult
532,Adult
1856,Adult
2084,Adult
1752,Adult
1161,Adult
1825,Adult
1184,Adult
740,Adult
1899,Adult
1151,Adult
6,Adult
941,Adult
581,Adult
1104,Senior
904,Adult
1211,Senior
1737,Adult
2053,Adult
364,Adult
1439,Adult
192,Adult
1558,Adult
181,Adult
214,Adult
485,Adult
1806,Senior
648,Adult
1146,Adult
1815,Adult
358,Adult
559,Adult
1629,Adult
416,Adult
872,Adult
1840,Adult
1602,Adult
1836,Senior
1308,Senior
596,Adult
1933,Adult
1782,Adult
1355,Adult
774,Adult
430,Adult
447,Adult
101,Adult
1470,Adult
60,Senior
207,Adult
788,Adult
889,Adult
1118,Adult
1454,Adult
288,Adult
2176,Adult
2048,Adult
844,Adult
8,Senior
916,Adult
1166,Adult
1730,Adult
955,Adult
2030,Adult
1383,Senior
804,Adult
964,Adult
2087,Adult
1749,Adult
1694,Adult
253,Senior
2164,Adult
936,Adult
455,Adult
538,Adult
874,Adult
268,Adult
1087,Adult
1314,Adult
765,Senior
545,Adult
1780,Adult
2115,Adult
2196,Adult
118,Adult
1551,Senior
1770,Adult
1578,Adult
413,Adult
1833,Adult
174,Senior
1957,Adult
400,Adult
1508,Senior
1846,Adult
1479,Adult
1546,Adult
93,Senior
1524,Adult
1768,Adult
1007,Adult
311,Senior
1793,Senior
518,Adult
1858,Adult
153,Adult
1140,Adult
1555,Adult
920,Adult
1492,Adult
2102,Adult
443,Adult
1857,Adult
1084,Adult
2162,Senior
1047,Adult
1054,Adult
225,Adult
1024,Adult
1608,Adult
1977,Adult
1869,Adult
713,Adult
435,Adult
179,Adult
1647,Adult
434,Adult
1139,Adult
508,Senior
32,Adult
1999,Adult
1964,Adult
38,Adult
24,Adult
29,Adult
199,Adult
1229,Adult
832,Adult
1785,Adult
1319,Adult
1865,Adult
180,Adult
823,Adult
1282,Adult
720,Adult
2080,Adult
264,Adult
126,Adult
1758,Adult
719,Adult
295,Adult
1597,Adult
794,Senior
652,Adult
1878,Adult
660,Adult
1617,Adult
2194,Adult
1963,Adult
105,Adult
1095,Adult
1650,Adult
1258,Senior
347,Adult
745,Adult
922,Adult
419,Adult
402,Adult
1520,Adult
1544,Adult
509,Adult
2114,Adult
1073,Senior
1779,Adult
1410,Adult
1326,Adult
1967,Adult
1203,Adult
1225,Adult
669,Adult
915,Senior
1425,Adult
1925,Adult
231,Adult
730,Adult
1474,Senior
1458,Adult
1221,Adult
703,Adult
869,Adult
1539,Adult
1100,Adult
1863,Adult
1321,Adult
1984,Adult
1844,Adult
716,Adult
125,Adult
687,Adult
2077,Adult
551,Adult
747,Adult
1646,Adult
607,Adult
1784,Senior
2142,Adult
1044,Senior
808,Adult
1032,Adult
540,Senior
1301,Adult
577,Adult
796,Adult
1829,Adult
1280,Adult
1720,Adult
398,Senior
113,Senior
2184,Adult
1235,Adult
2150,Adult
89,Adult
1428,Adult
888,Senior
2061,Adult
191,Adult
1860,Adult
1791,Adult
1901,Adult
1948,Adult
2195,Adult
897,Adult
1498,Adult
2138,Adult
2042,Adult
1051,Adult
1247,Senior
1240,Adult
248,Adult
1213,Adult
1942,Adult
1415,Adult
1760,Senior
70,Adult
799,Adult
852,Adult
699,Adult
158,Senior
1557,Senior
2205,Adult
1755,Adult
1130,Adult
880,Adult
1271,Adult
1243,Adult
1257,Adult
1759,Adult
771,Adult
1438,Senior
1312,Adult
377,Adult
951,Adult
672,Adult
1262,Adult
366,Senior
986,Adult
859,Senior
514,Adult
1550,Adult
1893,Adult
1517,Adult
1794,Adult
851,Adult
1588,Adult
1649,Adult
1918,Adult
606,Senior
333,Adult
2007,Senior
1662,Adult
1128,Adult
1152,Adult
1283,Adult
1889,Adult
563,Adult
1248,Adult
1870,Adult
241,Adult
845,Adult
1607,Adult
1892,Adult
1030,Adult
1936,Adult
1427,Adult
222,Senior
549,Senior
1944,Adult
1945,Adult
892,Senior
1085,Adult
526,Adult
445,Adult
1086,Adult
943,Adult
1061,Adult
1666,Senior
480,Senior
640,Adult
625,Adult
14,Senior
165,Senior
618,Senior
1543,Senior
2152,Adult
1574,Adult
92,Adult
1424,Adult
1491,Adult
1626,Adult
1036,Adult
1182,Adult
1995,Adult
439,Adult
1310,Adult
1168,Adult
405,Adult
593,Adult
1437,Adult
2079,Senior
2040,Senior
477,Adult
2003,Adult
609,Adult
25,Adult
589,Adult
1699,Adult
1105,Adult
361,Senior
133,Adult
1,Adult
293,Adult
1043,Adult
1053,Senior
1358,Senior
886,Senior
1875,Adult
1525,Adult
1879,Adult
1063,Adult
583,Adult
350,Adult
1107,Adult
881,Adult
1827,Adult
896,Adult
495,Adult
330,Adult
53,Adult
1534,Adult
790,Adult
1197,Adult
913,Adult
1460,Adult
488,Adult
769,Adult
1958,Adult
1594,Adult
2131,Adult
2171,Adult
1882,Adult
1639,Adult
1490,Senior
2185,Senior
1890,Adult
1409,Adult
1447,Adult
544,Senior
149,Adult
516,Adult
885,Adult
1242,Adult
751,Adult
1771,Adult
1620,Adult
1006,Adult
494,Adult
639,Adult
464,Adult
2156,Adult
143,Adult
1150,Adult
1176,Adult
238,Adult
752,Adult
592,Adult
629,Adult
924,Adult
830,Adult
1559,Adult
1998,Adult
2145,Adult
2097,Senior
247,Adult
1013,Senior
1896,Senior
573,Senior
1132,Senior
383,Adult
999,Adult
337,Adult
339,Adult
2019,Adult
604,Adult
1068,Adult
1956,Adult
818,Adult
601,Adult
1429,Adult
744,Adult
215,Adult
1530,Adult
1348,Adult
2153,Adult
168,Adult
137,Adult
901,Adult
422,Adult
220,Adult
978,Adult
1703,Adult
1249,Adult
1891,Adult
454,Adult
519,Adult
1345,Senior
1651,Adult
1603,Adult
355,Adult
1305,Adult
992,Adult
757,Adult
1160,Adult
1325,Adult
194,Adult
1210,Senior
665,Adult
1877,Adult
2070,Adult
290,Senior
1719,Adult
731,Adult
1968,Senior
1795,Senior
1764,Adult
322,Adult
1564,Adult
1231,Adult
1093,Adult
997,Adult
1218,Adult
325,Senior
612,Senior
855,Adult
1336,Adult
1365,Adult
1635,Adult
259,Adult
622,Senior
441,Adult
281,Adult
407,Adult
442,Adult
1434,Adult
1675,Senior
1731,Adult
2208,Adult
686,Adult
1554,Adult
931,Adult
557,Adult
1838,Adult
1154,Adult
197,Adult
750,Adult
1112,Adult
17,Adult
481,Adult
575,Adult
1230,Adult
1783,Adult
763,Senior
1452,Adult
135,Adult
1521,Adult
635,Adult
1514,Adult
460,Adult
1994,Senior
552,Adult
2143,Adult
2148,Senior
2173,Adult
2056,Adult
77,Adult
2106,Adult
424,Senior
1401,Adult
340,Adult
1343,Adult
1388,Adult
412,Adult
1990,Adult
88,Senior
998,Adult
819,Adult
323,Adult
1996,Adult
766,Adult
321,Adult
2108,Adult
1510,Adult
836,Adult
979,Adult
1443,Adult
1792,Adult
271,Adult
46,Adult
1110,Adult
1133,Adult
1669,Adult
16,Adult
2193,Adult
867,Adult
1902,Adult
438,Adult
1222,Adult
2022,Senior
1038,Adult
1111,Adult
262,Adult
1246,Adult
755,Senior
1931,Adult
3,Adult
1378,Adult
1513,Adult
139,Adult
342,Adult
1969,Adult
2011,Senior
1328,Adult
940,Adult
2099,Senior
1537,Senior
530,Adult
1329,Adult
2004,Adult
695,Adult
1381,Senior
555,Adult
1153,Adult
1991,Adult
950,Adult
359,Senior
255,Adult
390,Adult
371,Adult
1389,Senior
1789,Adult
411,Adult
146,Adult
1741,Adult
1418,Adult
826,Senior
1442,Adult
843,Adult
837,Adult
106,Adult
1704,Adult
588,Adult
2017,Adult
1435,Senior
862,Adult
213,Adult
1382,Adult
99,Adult
1897,Adult
1159,Adult
1981,Senior
1583,Adult
2218,Adult
39,Adult
2050,Adult
451,Adult
1847,Adult
1092,Adult
1363,Adult
111,Adult
942,Senior
1568,Adult
73,Adult
47,Adult
2161,Adult
96,Adult
1761,Adult
1593,Adult
1147,Senior
2154,Adult
1766,Adult
1122,Senior
1346,Adult
